Study,Time,DV,Arm,Dose,DV_CHR,Type_DV,Type_VAR,VAR,LVAR,UVAR,Route,Drug,Dose_freq,Unit_time,Unit_DV,Unit_dose,Source,Figure,Legend
,7.8,54.26901323,,,,,,,,,,,,,,,,,
,7.8,21.7575845,,,,,,,,,,,,,,,,,
,7.8,11.56550962,,,,,,,,,,,,,,,,,
,7.9,54.65605405,,,,,,,,,,,,,,,,,
,7.9,22.01561171,,,,,,,,,,,,,,,,,
,8,55.17210847,,,,,,,,,,,,,,,,,
,8,22.14462532,,,,,,,,,,,,,,,,,
,8.1,55.8171765,,,,,,,,,,,,,,,,,
,8.1,22.14462532,,,,,,,,,,,,,,,,,
,8.2,71.16979563,,,,,,,,,,,,,,,,,
,8.2,55.8171765,,,,,,,,,,,,,,,,,
,8.2,22.53166614,,,,,,,,,,,,,,,,,
,8.3,71.29880923,,,,,,,,,,,,,,,,,
,8.3,56.84928535,,,,,,,,,,,,,,,,,
,8.3,22.66067974,,,,,,,,,,,,,,,,,
,8.4,71.29880923,,,,,,,,,,,,,,,,,
,8.4,57.23632617,,,,,,,,,,,,,,,,,
,8.4,22.66067974,,,,,,,,,,,,,,,,,
,8.5,71.68585005,,,,,,,,,,,,,,,,,
,8.5,57.23632617,,,,,,,,,,,,,,,,,
,8.5,22.66067974,,,,,,,,,,,,,,,,,
,8.6,71.81486366,,,,,,,,,,,,,,,,,
,8.6,57.36533978,,,,,,,,,,,,,,,,,
,8.6,22.53166614,,,,,,,,,,,,,,,,,
,8.7,57.10731257,,,,,,,,,,,,,,,,,
,8.7,22.27363892,,,,,,,,,,,,,,,,,
,8.7,11.56550962,,,,,,,,,,,,,,,,,
,8.8,55.94619011,,,,,,,,,,,,,,,,,
,8.8,22.14462532,,,,,,,,,,,,,,,,,
,8.8,11.56550962,,,,,,,,,,,,,,,,,
,8.9,70.13768678,,,,,,,,,,,,,,,,,
,8.9,55.94619011,,,,,,,,,,,,,,,,,
,8.9,21.62857089,,,,,,,,,,,,,,,,,
,8.9,11.43649601,,,,,,,,,,,,,,,,,
,9,69.75064596,,,,,,,,,,,,,,,,,
,9,54.78506766,,,,,,,,,,,,,,,,,
